Date,Close,High,Low,Open,Volume
,NVDA,NVDA,NVDA,NVDA,NVDA
2021-02-03,13.49255657196045,13.89268122482267,13.478595893291107,13.597759985933012,245408000
2021-02-04,13.625931739807129,13.635155488119919,13.300347404064619,13.493055176707028,201340000
2021-02-05,13.552888870239258,13.698729491103327,13.507765817330919,13.686513894774555,169152000
2021-02-08,14.398260116577148,14.43316181497627,13.688755187120892,13.688755187120892,434624000
2021-02-09,14.223249435424805,14.54235169940777,14.182613215614609,14.300531480045814,287560000
2021-02-10,14.722846031188965,14.863201253824297,14.301282039333971,14.422690490908412,485352000
2021-02-11,15.20798110961914,15.229421401855387,14.883145228492026,14.938240455389991,450828000
2021-02-12,14.919295310974121,15.248369834422629,14.733566916671759,15.007796320212169,374756000
2021-02-16,15.28725814819336,15.329390295174722,14.908074531360281,15.02200431508525,321960000
2021-02-17,14.864200592041016,15.180810369685322,14.738553519197914,15.128456867917356,274756000
2021-02-18,14.78741455078125,14.831539993564954,14.534126197463962,14.687694606829579,233868000
2021-02-19,14.884641647338867,15.134438891463464,14.805115230939935,14.98236639799842,271724000
2021-02-22,14.315492630004883,15.090812459281109,14.284828587536415,14.7333173121364,325884000
2021-02-23,14.102339744567871,14.198818673240451,13.35194955644747,14.035776416282213,391780000
2021-02-24,14.45833969116211,14.466068467380678,13.717423274073871,14.083145503096832,448320000
2021-02-25,13.270183563232422,14.334441077467913,13.179189975141817,14.00611401149152,824436000
2021-02-26,13.676042556762695,13.815649363507847,13.323533467731098,13.71393515359349,500932000
2021-03-01,13.802932739257812,13.885949321001982,13.515241967729919,13.836089349362865,353184000
2021-03-02,13.36865520477295,13.881462909178813,13.358433857283094,13.861020214199105,264116000
2021-03-03,12.768839836120605,13.413775539590153,12.762856145628557,13.388596869935437,377592000
2021-03-04,12.335561752319336,12.938616576022513,12.049865163193754,12.764854597565634,573344000
2021-03-05,12.426555633544922,12.514807484700661,11.646498815490384,12.514807484700661,542840000
2021-03-08,11.560741424560547,12.436278715998068,11.534065871744193,12.41508853176085,543112000
2021-03-09,12.489448547363281,12.585710586701868,12.029582238014875,12.100407665853615,521824000
2021-03-10,12.437577247619629,12.948067565563633,12.42685387625009,12.808911083089319,384376000
2021-03-11,12.961532592773438,13.014153400988423,12.703169970680369,12.918139666605807,299916000
2021-03-12,12.824372291564941,12.857041851117744,12.559026896264074,12.617133067544048,243964000
2021-03-15,13.158796310424805,13.174258245322083,12.73583966195434,12.833099637107122,221988000
2021-03-16,13.258549690246582,13.479254929027192,13.084478549342348,13.323638599724422,272128000
2021-03-17,13.308426856994629,13.420150815607716,12.957541896819428,13.007668319701601,243864000
2021-03-18,12.69119930267334,13.15156406420649,12.685712993877715,13.10418126861368,293896000
2021-03-19,12.814146995544434,12.889710986982735,12.581471167444477,12.718632702400825,299208000
2021-03-22,13.153812408447266,13.361550172532192,12.874999952823599,12.880985710732899,297804000
2021-03-23,13.038593292236328,13.311669159623857,12.98921460896582,13.2216411794173,222048000
2021-03-24,12.611899375915527,13.126880071260182,12.605665320968077,13.11889937738651,245840000
2021-03-25,12.504411697387695,12.683470687202513,12.241809920894694,12.468750209276983,295144000
2021-03-26,12.80766487121582,12.824623248846297,12.34306088171137,12.523615375554263,363968000
2021-03-29,12.916396141052246,13.03036526004874,12.66875684725543,12.78871077199155,273520000
2021-03-30,12.840084075927734,12.943329820806323,12.673744343397683,12.810407393306773,200204000
2021-03-31,13.315412521362305,13.437361379878029,12.950561986434117,12.983480795926578,314776000
2021-04-01,13.77777099609375,13.83587716537541,13.47800941308957,13.538860163952092,308276000
2021-04-05,13.95308780670166,13.97952235961436,13.699213545574432,13.83338314774415,255672000
2021-04-06,13.827398300170898,14.019674081792544,13.739615448630643,13.965308533350179,191744000
2021-04-07,14.108707427978516,14.208460857964388,13.677769984773475,13.846603166850237,251284000
2021-04-08,14.281779289245605,14.435899213055192,14.213945783814793,14.217687357595498,244416000
2021-04-09,14.36457347869873,14.372554170430043,14.140127582945142,14.17903119573097,195172000
2021-04-12,15.17158317565918,15.314730471035531,14.104465091205773,14.254595135072282,869324000
2021-04-13,15.640924453735352,15.661374201679184,15.088536767940864,15.194026682355068,676212000
2021-04-14,15.23941707611084,15.68182557627376,15.190038388116491,15.58656052594978,385500000
2021-04-15,16.097553253173828,16.17436349825913,15.59304674396962,15.623970620941911,598480000
2021-04-16,15.873353958129883,16.12598105828335,15.82621945225456,16.013507430530804,335208000
2021-04-19,15.323958396911621,15.768612048726274,15.195525285421995,15.498278823834138,404420000
2021-04-20,15.133925437927246,15.458873413755898,14.92618773708497,15.285550956429873,334132000
2021-04-21,15.322712898254395,15.32470783357352,15.065097967523737,15.081556897402692,216776000
2021-04-22,14.813715934753418,15.400518892869922,14.747129626728535,15.337174711025497,277788000
2021-04-23,15.22769546508789,15.29727370248584,14.863593646617081,14.89750944608486,227500000
2021-04-26,15.439922332763672,15.440920276031514,15.087791058443576,15.147643871309407,197796000
2021-04-27,15.343910217285156,15.631949573137733,15.31672696447076,15.540175890217878,164572000
2021-04-28,15.239167213439941,15.494039448295446,15.178068161200418,15.32670177309296,209416000
2021-04-29,15.287049293518066,15.39852402553531,15.034422195968673,15.362113842578646,173196000
2021-04-30,14.972574234008789,15.327199878603071,14.960105175895864,15.137169225880765,201912000
